Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
466,1,1.0,130,130 wavelengths,4,0.4836527621195039
466,2,0.954357540733128,76,76 wavelengths,4,0.4750093949642991
466,3,0.9107983155541839,43,43 wavelengths,4,0.4588500563697858
466,4,0.8692272405361663,26,26 wavelengths,4,0.4321683577602405
466,5,0.8295535716163387,15,15 wavelengths,4,0.4310409620443442
466,6,0.7916907065141517,10,"394.94, 433.67, 703.78, 1234.00, 1462.15, 1571.78, 2276.60, 2316.45, 2435.79, 2455.65",4,0.4295377677564825
466,7,0.7555559956901182,6,"394.94, 703.78, 1462.15, 1571.78, 2276.60, 2316.45",4,0.4558436677940624
466,8,0.721070561932991,5,"394.94, 703.78, 1462.15, 1571.78, 2276.60",4,0.45208568207440814
466,9,0.6881591281814239,4,"394.94, 703.78, 1462.15, 2276.60",4,0.42577978203682826
466,10,0.656749853204277,3,"394.94, 703.78, 2276.60",3,0.3893273205561819
466,11,0.6267741747808766,3,"394.94, 703.78, 2276.60",3,0.3893273205561819
466,12,0.5981666600389132,2,"394.94, 2276.60",2,0.31942878617061254
466,13,0.5708648626232861,2,"394.94, 2276.60",2,0.31942878617061254
466,14,0.5448091863841141,2,"394.94, 2276.60",2,0.31942878617061254
466,15,0.5199427552863595,2,"394.94, 2276.60",2,0.31942878617061254
466,16,0.4962112892570966,1,2276.60,1,0.3216835776024051
466,17,0.4735629856994175,1,2276.60,1,0.3216835776024051
466,18,0.45194840641433354,1,2276.60,1,0.3216835776024051
466,19,0.43132036968383947,1,2276.60,1,0.3216835776024051
466,20,0.41163384727957264,1,2276.60,1,0.3216835776024051
466,21,0.3928458661722489,1,2276.60,1,0.3216835776024051
466,22,0.3749154147273229,1,2276.60,1,0.3216835776024051
466,23,0.35780335318210865,1,2276.60,1,0.3216835776024051
466,24,0.341472328208944,1,2276.60,1,0.3216835776024051
466,25,0.3258866913779032,1,2276.60,1,0.3216835776024051
466,26,0.3110124213410716,1,2276.60,1,0.3216835776024051
466,27,0.29681704956852045,1,2276.60,1,0.3216835776024051
466,28,0.28326958947387604,1,2276.60,1,0.3216835776024051
466,29,0.27034046877477114,1,2276.60,1,0.3216835776024051
466,30,0.2580014649405315,1,2276.60,1,0.3216835776024051
466,31,0.24622564358619,1,2276.60,1,0.3216835776024051
466,32,0.23498729967834794,1,2276.60,1,0.3216835776024051
466,33,0.22426190142454666,1,2276.60,1,0.3216835776024051
466,34,0.21402603672366552,1,2276.60,1,0.3216835776024051
466,35,0.20425736206045553,1,2276.60,1,0.3216835776024051
466,36,0.19493455373265248,1,2276.60,1,0.3216835776024051
466,37,0.18603726130420398,1,2276.60,1,0.3216835776024051
466,38,0.17754606318300636,1,2276.60,1,0.3216835776024051
466,39,0.16944242422618255,1,2276.60,1,0.3216835776024051
466,40,0.1617086552803589,1,2276.60,1,0.3216835776024051
466,41,0.15432787456862446,1,2276.60,1,0.3216835776024051
466,42,0.14728397083988307,1,2276.60,1,0.3216835776024051
466,43,0.14056156820016055,1,2276.60,1,0.3216835776024051
466,44,0.13414599254909704,1,2276.60,1,0.3216835776024051
466,45,0.12802323954836076,1,2276.60,1,0.3216835776024051
466,46,0.1221799440520617,1,2276.60,1,0.3216835776024051
466,47,0.11660335093243673,1,2276.60,1,0.3216835776024051
466,48,0.1112812872371222,1,2276.60,1,0.3216835776024051
466,49,0.10620213561723678,1,2276.60,1,0.3216835776024051
466,50,0.10135480896827219,1,2276.60,1,0.3216835776024051
466,51,0.09672872622843623,1,2276.60,1,0.3216835776024051
466,52,0.09231378928161843,1,2276.60,1,0.3216835776024051
466,53,0.0881003609145615,1,2276.60,1,0.3216835776024051
466,54,0.08407924378012192,1,2276.60,1,0.3216835776024051
466,55,0.08024166032069831,1,2276.60,1,0.3216835776024051
466,56,0.07657923360800463,1,2276.60,1,0.3216835776024051
466,57,0.07308396905736299,1,2276.60,1,0.3216835776024051
466,58,0.06974823697660097,1,2276.60,1,0.3216835776024051
466,59,0.06656475591146033,1,2276.60,1,0.3216835776024051
466,60,0.0635265767511622,1,2276.60,1,0.3216835776024051
466,61,0.06062706755943346,1,2276.60,1,0.3216835776024051
466,62,0.05785989909788212,1,2276.60,1,0.3216835776024051
466,63,0.05521903101012169,1,2276.60,1,0.3216835776024051
466,64,0.05269869863648607,1,2276.60,1,0.3216835776024051
466,65,0.050293400430553095,1,2276.60,1,0.3216835776024051
466,66,0.04799788595000907,1,2276.60,1,0.3216835776024051
466,67,0.045807144395639814,1,2276.60,1,0.3216835776024051
466,68,0.0437163936734301,1,2276.60,1,0.3216835776024051
466,69,0.04172106995589601,1,2276.60,1,0.3216835776024051
466,70,0.03981681771986371,1,2276.60,1,0.3216835776024051
466,71,0.03799948023894836,1,2276.60,1,0.3216835776024051
466,72,0.03626509050997986,1,2276.60,1,0.3216835776024051
466,73,0.03460986259356866,1,2276.60,1,0.3216835776024051
466,74,0.03303018334990966,1,2276.60,1,0.3216835776024051
466,75,0.0315226045517841,1,2276.60,1,0.3216835776024051
466,76,0.030083835357543567,1,2276.60,1,0.3216835776024051
466,77,0.028710735127645604,1,2276.60,1,0.3216835776024051
466,78,0.02740030656906009,1,2276.60,1,0.3216835776024051
466,79,0.026149689192581947,1,2276.60,1,0.3216835776024051
466,80,0.024956153068768163,1,2276.60,1,0.3216835776024051
466,81,0.02381709286886909,1,2276.60,1,0.3216835776024051
466,82,0.022730022177746417,1,2276.60,1,0.3216835776024051
466,83,0.021692568066363528,1,2276.60,1,0.3216835776024051
466,84,0.020702465912000683,1,2276.60,1,0.3216835776024051
466,85,0.019757554454888377,1,2276.60,1,0.3216835776024051
466,86,0.01885577108046814,1,2276.60,1,0.3216835776024051
466,87,0.0179951473169824,1,2276.60,1,0.3216835776024051
466,88,0.01717380453856566,1,2276.60,1,0.3216835776024051
466,89,0.01638994986445697,1,2276.60,1,0.3216835776024051
466,90,0.01564187224538241,1,2276.60,1,0.3216835776024051
466,91,0.01492793872856492,1,2276.60,1,0.3216835776024051
466,92,0.01424659089320804,1,2276.60,1,0.3216835776024051
466,93,0.013596341448672998,1,2276.60,1,0.3216835776024051
466,94,0.01297577098792345,1,2276.60,1,0.3216835776024051
466,95,0.0123835248891509,1,2276.60,1,0.3216835776024051
466,96,0.01181831035881753,1,2276.60,1,0.3216835776024051
466,97,0.011278893609661946,1,2276.60,1,0.3216835776024051
466,98,0.01076409716750757,1,2276.60,1,0.3216835776024051
466,99,0.010272797300994951,1,2276.60,1,0.3216835776024051
466,100,0.009803921568627453,1,2276.60,1,0.3216835776024051
